id,name,name__en,name__el,name__tr,email,image,gender,birth_date,facebook,twitter,identifier__openpatata,identifier__wikidata,term,start_date,end_date,area_id,area,area__el,area__tr,faction_id,faction,faction__el,faction__tr,wikipedia
adamou-adamos,Adamou Adamos,Adamou Adamos,Αδάμου Αδάμος,Adámu Adámos,aadamou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Adamou Adamos a.jpg,male,1950-10-30,,,adamou-adamos,Q351655,10,,,lemesos,Lemesos,Λεμεσός,Limasol,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,AKEL – Sol – Yeni Güçler,
anastasiadis-nikos,Anastasiadis Nikos,Anastasiadis Nikos,Αναστασιάδης Νίκος,Anastasiádis Níkos,,http://www.parliament.cy/assets/image/imageoriginal/Anastasiades Nikos.jpg,male,1946-09-27,,,anastasiadis-nikos,Q2112764,10,,2013-02-28,lemesos,Lemesos,Λεμεσός,Limasol,disy,Democratic Rally,Δημοκρατικός Συναγερμός,Demokratik Seferberlik,
antoniou-antonis,Antoniou Antonis,Antoniou Antonis,Αντωνίου Αντώνης,Andoníu Andónis,aantoniou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/ANTONIOU ANTONIS.jpg,male,1959-11-30,,,antoniou-antonis,Q12873774,10,,,pafos,Pafos,Πάφος,Baf,diko,Democratic Party,Δημοκρατικό Κόμμα,Demokrat Parti,
champoullas-evgenios,Champoullas Evgenios,Champoullas Evgenios,Χαμπουλλάς Ευγένιος,Hambullás Evyénios,ehamboullas@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Hamboullas-mikri.jpg,male,1969-01-12,,,champoullas-evgenios,,10,2014-11-06,,ammochostos,Ammochostos,Αμμόχωστος,Mağusa,disy,Democratic Rally,Δημοκρατικός Συναγερμός,Demokratik Seferberlik,
charalampidou-eirini,Charalampidou Eirini,Charalampidou Eirini,Χαραλαμπίδου Ειρήνη,Haralambídu İríni,icharalambides@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Charalambidou Eirini a.jpg,female,1964-03-19,,,charalampidou-eirini,Q12876791,10,,,lefkosia,Lefkosia,Λευκωσία,Lefkoşa,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,AKEL – Sol – Yeni Güçler,
chatzigiannis-kyriakos,Chatzigiannis Kyriakos,Chatzigiannis Kyriakos,Χατζηγιάννης Κυριάκος,Haciyánnis Kiriákos,khadjiyianni@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/HADJIGIANNIS Kiriakos.jpg,male,1963-08-22,,,chatzigiannis-kyriakos,,10,,,ammochostos,Ammochostos,Αμμόχωστος,Mağusa,disy,Democratic Rally,Δημοκρατικός Συναγερμός,Demokratik Seferberlik,
christoforou-lefteris,Christoforou Lefteris,Christoforou Lefteris,Χριστοφόρου Λευτέρης,Hristofóru Leftéris,lchristoforou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/CHRISTOFOROU Lefteris.jpg,male,1963-08-31,https://www.facebook.com/ChristoforouLefteris,https://twitter.com/LefChristoforou,christoforou-lefteris,Q16571128,10,,2014-10-31,ammochostos,Ammochostos,Αμμόχωστος,Mağusa,disy,Democratic Rally,Δημοκρατικός Συναγερμός,Demokratik Seferberlik,
damianou-aristos,Damianou Aristos,Damianou Aristos,Δαμιανού Άριστος,Damianú Áristos,adamianou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Damianou Aristos a.jpg,male,1972-06-03,,https://twitter.com/AristosDamianou,damianou-aristos,Q12872352,10,,,lefkosia,Lefkosia,Λευκωσία,Lefkoşa,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,AKEL – Sol – Yeni Güçler,
dimitriou-misiaouli-stella,Dimitriou Misiaouli Stella,Dimitriou Misiaouli Stella,Δημητρίου Μισιαούλη Στέλλα,Dimitríu Mişaúli Stélla,smisiaouli@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Dimitriou-Misiaouli Stella a.jpg,female,1954-10-18,,,dimitriou-misiaouli-stella,Q16329024,10,,,lefkosia,Lefkosia,Λευκωσία,Lefkoşa,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,AKEL – Sol – Yeni Güçler,
diplaros-efthymios,Diplaros Efthymios,Diplaros Efthymios,Δίπλαρος Ευθύμιος,Díplaros Efthímios,ediplaros@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/DIPLAROS Efthymios.jpg,male,1980-03-18,,https://twitter.com/ediplaros,diplaros-efthymios,,10,,,lemesos,Lemesos,Λεμεσός,Limasol,disy,Democratic Rally,Δημοκρατικός Συναγερμός,Demokratik Seferberlik,
evagorou-stavros,Evagorou Stavros,Evagorou Stavros,Ευαγόρου Σταύρος,Evagóru Stávros,sevagorou@parliament.cy,http://www.parliament.cy/assets/image/imageoriginal/Evagorou Stavros a.jpg,male,1959-09-23,,,evagorou-stavros,Q15950881,10,,,ammochostos,Ammochostos,Αμμόχωστος,Mağusa,akel-nd,AKEL – Left – New Forces,ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις,AKEL – Sol – Yeni Güçler,
