id,name,image,party,party_id,term,email,area,source
Namwandi-Barakias,Namwandi Barakias,http://www.parliament.na/images/nationalcouncil/312_hon._b._namwandi.jpg,SWAPO,SWAPO,3,b.namwandi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=917:namwandi-barakias-3rd&catid=124&Itemid=1377
Martin-Aram,Martin Aram,http://www.parliament.na/images/nationalcouncil/261_img_0052.jpg,SWAPO,SWAPO,4,a.martin@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=22:martin-aram&catid=136&Itemid=1376
Namwandi-Barakias,Namwandi Barakias,http://www.parliament.na/images/nationalcouncil/312_hon._b._namwandi.jpg,SWAPO,SWAPO,4,b.namwandi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=26:namwandi-barakias&catid=136&Itemid=1376
Martin-Aram,Martin Aram,http://www.parliament.na/images/nationalcouncil/261_img_0052.jpg,SWAPO,SWAPO,3,a.martin@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=904:martin-aram-3rd&catid=124&Itemid=1377
Cloete-Herman-H,Cloete Herman H.,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=934:cloete-herman-h&catid=119&Itemid=1379
Kankoshi-Henok-Tangeni,Kankoshi Henok Tangeni,http://www.parliament.na/images/nationalcouncil/205_img_0069.jpg,SWAPO,SWAPO,4,h.kankoshi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=17:henok-kankoshi&catid=136&Itemid=1376
Samuehl-Fluksman,Samuehl Fluksman,http://www.parliament.na/images/nationalcouncil/f_samuel.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=512:samuehl-fluksman&catid=122&Itemid=1378
Tobias-Lebbius-Tangeni,Tobias Lebbius Tangeni,http://www.parliament.na/images/nationalcouncil/599_lebbius_tangeni_tobias.jpg,SWAPO,SWAPO,4,l.tobias@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1321:tobias-lebbius-tangeni&catid=136&Itemid=1376
Masake-Joseph-Sitali,Masake Joseph Sitali,http://www.parliament.na/images/nationalcouncil/j_masake.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=535:masake-joseph-sitali&catid=122&Itemid=1378
Kabula-Dorothy-Mareka,Kabula Dorothy Mareka,http://www.parliament.na/images/nationalcouncil/d_kabula.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=914:kabula-dorothy-mareka&catid=124&Itemid=1377
