id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
7fb5f0fb-e1f2-476e-b41f-62ef7ce3deed,"Antsino, Johannes Hishidimbwa","Antsino, Johannes Hishidimbwa",j.antsino@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Antsino.jpg,
0a193b3b-b90c-448e-ac72-218bc389f41d,Boois Dawid,Boois Dawid,d.boois@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/586_dawid_boois.jpg,
02f51d6b-21d1-4265-bf37-53a5d42f61da,"Booys, Steve Biko","Booys, Steve Biko",s.boois@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Booys.jpg,
ccafc378-21a4-48de-860c-25638af38376,"Dukeleni, Simon Christy","Dukeleni, Simon Christy",s.dukeleni@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Dukeleni.jpg,
8abffe38-5633-4992-af7c-57c22f088f96,"Ephraim, Paulus Amukoshi","Ephraim, Paulus Amukoshi",p.efraim@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Ephriam.jpg,
e5b4132a-eb24-474a-88fd-6d6fdbac93d4,"Ghauz, Fransina","Ghauz, Fransina",f.ghauz@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Ghauz.jpg,
cd7a6814-bf7f-42d9-ab24-f307232be964,Hamutenya Johannes Tuhafeni,Hamutenya Johannes Tuhafeni,j.hamutenya@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Hamutenya.jpg,
bddc0032-deee-4ece-9808-ee9e3e034bd4,"Kaishungu-Shinana, Lonia","Kaishungu-Shinana, Lonia",l.shinana@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kaishungu.jpg,
bbf79378-01ed-4bd2-94a3-38efbed15995,"Kalipi, Werner","Kalipi, Werner",w.kalipi@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kalipi.jpg,
714abcba-742f-4b8b-bbfa-e0113b527b0e,"Kandjii, Ambrosius","Kandjii, Ambrosius",a.kandjii@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kandjii.jpg,
25de4241-f8d1-42cd-9e4b-995c404be620,"Kanguatjivi, Cornelius Vejama","Kanguatjivi, Cornelius Vejama",c.kanguatjivi@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kanguatjivi.jpg,
0db75ab4-a48c-4f47-be34-c8fb381522d3,"Kanyele, Titus","Kanyele, Titus",t.kanyele@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kanyele.jpg,
c17c5661-f756-4ba1-9459-7ea25576e737,"Katamelo, Phillipus Wido","Katamelo, Phillipus Wido",p.katamelo@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Katamelo.JPG,
ef135125-4c34-44e4-ac37-33fd1893f939,"Kaula, Betty Beatrice","Kaula, Betty Beatrice",b.kaula@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kaula.jpg,
94be9d63-29ab-4175-be05-06bde5d61df7,"Kauma, Victoria Mbawo","Kauma, Victoria Mbawo",v.kauma@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kauma.jpg,
d231c681-64bf-4574-bc89-f1c1554942e7,"Kavara, Rosa Kunyanda","Kavara, Rosa Kunyanda",r.kavara@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kavara.jpg,
fd282551-db7a-4fa4-a52a-2353c2b2ce9f,"Kavhura, Petrus Muyenga","Kavhura, Petrus Muyenga",p.kavhura@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kavhura.jpg,
dd7e6032-e3f4-48e0-867e-ea8784aba063,"Kazongominja, Peter Chance Kamanguisi Razungama","Kazongominja, Peter Chance Kamanguisi Razungama",p.kazongominja@parliament.na,,,NUDO,NUDO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kazongominja.jpg,
4db54377-ebdf-479e-b52e-1b3305a6d88f,"Kuushomwa, Lotto","Kuushomwa, Lotto",l.kuushomwa@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Kuushomwa.jpg,
2ad53c6d-7952-4e95-8a95-7f1c68f3f680,"Likando, John Musialela","Likando, John Musialela",j.likando@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Likando.jpg,
150e25d5-7dfc-4305-8356-1023bb0ff96d,"Mekundi, Laina","Mekundi, Laina",l.mekundi@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Mekundi.jpg,
4a4c1eab-afa3-44f2-8a54-0aff96fd67d3,Mensah-Williams Margaret Natalie,Mensah-Williams Margaret Natalie,m.nakutwima@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,
0a4683b4-ff03-4108-82ec-8f4b83841bc9,"Muha, Lukas Sinimbo","Muha, Lukas Sinimbo",l.muha@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Muha.jpg,
ed33e0bd-2245-4e13-a216-1a09140aedca,"Muharukua, Nguzu Johannes Pelser","Muharukua, Nguzu Johannes Pelser",j.muharukua@parliament.na,,,DTA,DTA,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Muharukua.jpg,
8a0d9f9e-e5a1-4bd1-8ad2-96c23a8dd286,"Mungenga, Nico Herman","Mungenga, Nico Herman",n.mungenga@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Mungenga.jpg,
8ea524ad-4ad4-41ff-96f6-03edc5ef9088,"Mupetami, Joseph","Mupetami, Joseph",j.mupetami@parliament.na,,,SWAPO,SWAPO,,,National Council,5,,,http://www.parliament.na/images/nationalcouncil/5thparliament/Mupetami.jpg,
