id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
d62eb222-190e-49a8-9b09-21ad56bf8581,Abas Agaba,Abas Agaba,,,,National Resistance Movement,NRM,area/kitagwenda_county,Kitagwenda County,Parliament,10,,,,male
c99d060b-175e-4d41-94d7-ef8f343aaca0,Abdu Katuntu,"Katuntu, Abdu",akatuntu@parliament.go.ug,,,Forum for Democratic Change,FDC,area/bugweri_county,Bugweri County,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/KATUNTU109.jpg,male
e1aad89c-208e-48e9-885a-253be2e9fc9d,Abdu Latif Sengendo Ssebaggala,"Ssebaggala, Abdu Latif Sengendo",ssebaggala@parliament.go.ug,,,Independent,INDEP,area/kawempe_north,Kawempe North,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/SSEBAGGALA257.jpg,male
1f7bcea3-68e1-4728-a9c5-66ac4cbc2b0f,Aboud Kitatta,"Kitatta, Aboud",akitatta@parliament.go.ug,,,National Resistance Movement,NRM,area/bukoto_west,Bukoto West,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/KITATTA397.jpg,male
2ac311b6-7b4f-4fbb-bd8c-27da8ba2b11c,Abraham James Byandala,"Byandala, Abraham James",abyandala@parliament.go.ug,,,National Resistance Movement,NRM,area/katikamu_north,Katikamu North,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/BYANDALA464.jpg,male
12e691d3-e0c0-4752-a1de-c075fb8180e5,Adolf Kasaija Mwesige,"Mwesige, Adolf Kasaija",amwesige@parliament.go.ug,,,National Resistance Movement,NRM,area/bunyangabu,Bunyangabu,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/MWESIGE182.jpg,male
2c4f9d45-f051-4404-a53b-fa1f49354060,Aggrey Bagiire,Aggrey Bagiire,,,,National Resistance Movement,NRM,area/bunya_west,Bunya West,Parliament,10,,,,male
5da75bfc-b0ba-4e5b-b2cf-814c75a387ff,Aimat Peter Lokeris,"Lokeris, Aimat Peter",ptlokeris@parliament.go.ug,,,National Resistance Movement,NRM,area/chekwii_county,Chekwii County,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/LOKERIS136.jpg,male
ae2287c0-eaa5-40d9-a883-d2e156983aac,Albert Lokoroi,Albert Lokoroi,,,,National Resistance Movement,NRM,area/tepeth_county,Tepeth County,Parliament,10,,,,male
d467b8bd-7211-479b-ba66-e276724ce624,Alex Bakunda Byarugaba,"Byarugaba, Alex Bakunda",abyarugaba@parliament.go.ug,,,National Resistance Movement,NRM,area/isingiro_south,Isingiro south,Parliament,10,,,http://www.parliament.go.ug/mpdata/pics/9parl/BYARUGABA334.jpg,male
